Customer/Merchant ID,Product ID,Policy Type,Premium Amount,Policy Term,Claim Status
CUS5CEQR8F1MHHQ,PROD105814,Life,206311,10,No Claim
CUSW1YW6QKIXQ0Y,PROD105815,General,114433,18,No Claim
CUSA9SWZ09UEXXI,PROD105816,General,189971,24,No Claim
CUSS6XE701XOY5B,PROD105817,General,206415,24,No Claim
CUSONAMOP6OVPSL,PROD105818,Health,123106,9,No Claim
CUSBMGWAD0QTVB0,PROD105822,Health,153365,17,No Claim
CUSLWIL637HXUCV,PROD105823,General,185262,8,No Claim
CUSUK0J39QZQ64R,PROD105826,Health,58563,15,No Claim
CUSRQLQ8KF9CPOB,PROD105827,General,168015,6,No Claim
CUSGO7Z55HPQA1V,PROD105835,Health,165879,18,No Claim
CUSUDN740YGCKVK,PROD105841,General,42945,16,No Claim
CUSE4SCVMFX1FJK,PROD105843,Health,52527,16,No Claim
CUS2RCAODZP2HCE,PROD105849,Health,199542,14,No Claim
CUS7CN5UBY4VBZU,PROD105854,Life,35016,5,No Claim
CUS1EP39J98202R,PROD105859,General,100821,5,No Claim
CUS6M3K9B2WP1JD,PROD105861,Life,246258,20,No Claim
CUSUZYJR76M37Y0,PROD105866,Life,191961,21,No Claim
CUSQEO0YHX0WQAN,PROD105867,General,36686,24,No Claim
CUSHDHJJV5B80O2,PROD105869,Health,109245,22,No Claim
CUS4VCWKC6KOSGB,PROD105887,Health,68820,23,No Claim
CUS8Z44J9LKOPJ1,PROD105888,Health,103058,9,No Claim
CUSQ3Q4RSSVRVEG,PROD105890,General,130412,22,No Claim
CUSAYRGALEGCQOA,PROD105911,General,140829,16,No Claim
CUSEULGTLUFRM9Z,PROD105913,Life,126743,25,No Claim
CUS8E077UP84ONA,PROD105917,Life,171418,14,Claim Filed
CUSMGWDC6CY9Q5Y,PROD105920,Life,90137,18,No Claim
CUSOPES897HSDSK,PROD105921,General,221233,8,No Claim
CUSVQSGPNA1GU3V,PROD105924,General,159162,10,No Claim
CUS6M3OY584J7FH,PROD105936,Health,150448,17,No Claim
CUS29QTT9TX6UOX,PROD105937,Life,111555,25,No Claim
CUS4P2PBGCIN6RL,PROD105943,General,188733,7,No Claim
111794904007,PROD105948,General,31765,18,No Claim
CUSD2CMWQG2665H,PROD105949,Life,209063,12,Claim Settled
558132380695,PROD105952,Life,185910,6,No Claim
CUSIRX22V8LWCF8,PROD105964,Life,114570,20,No Claim
CUSXXSFLRAXM8J7,PROD105978,Life,78654,13,No Claim
CUSZ95BRFJ7KOHG,PROD105986,Health,217278,15,No Claim
186474508948,PROD105991,Health,52832,12,No Claim
CUS4KUEVYMRXAWZ,PROD105992,General,136414,16,No Claim
CUS779QUIWQCLW3,PROD105995,Life,242652,11,No Claim
CUS11Z4AJ2UBKNB,PROD105996,General,173637,17,No Claim
611717395240,PROD105997,Life,176609,14,No Claim
CUSBD46FNERNMCP,PROD105999,General,221656,13,No Claim
CUSGMLXJEU6W1AN,PROD106002,Health,54635,24,No Claim
CUS9V2NYTNU7O2V,PROD106007,Health,66665,18,No Claim
CUSBXTJ9P3VULRR,PROD106011,Life,101085,10,No Claim
CUSE3XHSZ5GUT7W,PROD106013,General,236932,7,No Claim
CUSQEUEHXCB5YZ4,PROD106023,Life,68028,16,No Claim
CUS7F7ODYXMUSBV,PROD106036,General,240104,8,No Claim
CUSRT8WUGHPDWKD,PROD106042,Life,35665,8,No Claim
CUS2VMRCFP9G9DH,PROD106048,General,239734,13,No Claim
CUSGC1TS95G1RDR,PROD106051,General,33812,21,No Claim
CUSW4Y0271YY6RA,PROD106057,Life,173600,24,No Claim
861500485772,PROD106058,Health,214475,16,No Claim
CUSWMC277P0D5SJ,PROD106065,Life,87055,14,No Claim
CUS4563VRBJ88JS,PROD106078,Health,182533,11,Claim Settled
CUSBDV17ASLR2HO,PROD106079,Health,109269,15,No Claim
CUS7PPXQXB3TT23,PROD106085,Life,214479,6,No Claim
981667585174,PROD106090,Health,225473,20,No Claim
CUSAPG2Z5AQ9FD8,PROD106095,Health,230144,17,No Claim
CUSEQ3N68EMVAOT,PROD106096,Health,109526,13,No Claim
CUSWMFKYOF4RPL1,PROD106097,Health,63936,12,No Claim
CUS9LG2RLY19PW6,PROD106098,Life,134711,23,No Claim
CUSQ2FR576LLVZ1,PROD106102,Life,211577,23,No Claim
CUSJPGT8E4YMJT7,PROD106104,General,173524,21,No Claim
CUSY2N60ZTY5K0A,PROD106105,Life,168994,24,No Claim
CUS7KIXBK9MYIR8,PROD106107,Life,163042,18,Claim Settled
CUS5L6DX0AXCI4R,PROD106116,General,54550,22,No Claim
CUSYIGS06YKTW5E,PROD106127,General,98517,12,No Claim
CUS2RT0W2MK1HEM,PROD106128,Life,152254,23,No Claim
CUSA3KHAOK2J9EZ,PROD106129,Life,31371,16,No Claim
CUSTY461K06WGFK,PROD106133,Health,82793,20,No Claim
CUSRQC1V1KW6MEB,PROD106134,Life,146542,19,No Claim
CUS39TZAZXSYDU4,PROD106135,Life,45541,14,No Claim
CUS04SJU6UQVL7E,PROD106136,General,247481,22,No Claim
501229135744,PROD106140,General,92949,25,No Claim
CUSOC78GO9EBICN,PROD106141,Life,86690,15,No Claim
CUS2TTUX9Q0P9LW,PROD106145,General,244843,18,No Claim
CUS38TDGZ1WCNHV,PROD106147,Health,248676,24,No Claim
CUSXV0M8F629AKF,PROD106150,General,173705,5,No Claim
CUSYUEMY1E7DCPP,PROD106153,Health,56490,20,No Claim
CUS1HIJ4LXO9AGI,PROD106157,Life,225533,11,No Claim
CUS97VOPCTZHO1D,PROD106158,Life,196885,23,No Claim
CUSHRAG3Z7WQUL8,PROD106160,General,65771,8,No Claim
CUS48HI1KYWMJZI,PROD106167,Health,98396,19,No Claim
CUSQOET6DX9OJRT,PROD106168,Life,73582,13,No Claim
CUS6NHEZ5P06PAS,PROD106170,General,248771,8,No Claim
CUST00IMSA23XDF,PROD106172,General,212812,25,No Claim
CUS8OFNEKWT57NY,PROD106180,Life,48736,24,No Claim
557001746728,PROD106188,Health,163555,14,No Claim
CUS62HZHK8L6STR,PROD106197,General,214153,12,No Claim
CUS262Q03MV4ONQ,PROD106202,Health,102481,7,No Claim
CUSNN3G1V1PXNQE,PROD106206,General,133845,25,No Claim
CUS2KK3R6N59U3B,PROD106216,Health,167061,22,No Claim
141718462342,PROD106220,General,56224,5,No Claim
CUSPTJHY3CCZ90U,PROD106225,Life,73648,24,No Claim
CUS9WQ9OCZDBTR6,PROD106234,Health,189725,21,No Claim
CUSKH16K1X4BJ3I,PROD106243,Health,230451,20,No Claim
CUSSJR5HWW5WOFF,PROD106244,Life,51159,7,No Claim
532901068580,PROD106247,Health,114619,14,No Claim
CUSVKO8G9CC3WLS,PROD106249,Life,155403,11,No Claim
CUSW3A4CQ119CIW,PROD106255,Life,94927,10,No Claim
CUSVVAE6RG7QOX8,PROD106256,Life,181767,16,Claim Settled
CUSWEESIK7RT871,PROD106259,Health,208113,11,Claim Settled
CUSA8R4S8TJ1GXA,PROD106267,Life,135899,9,No Claim
CUSRX2FRKODZJI8,PROD106270,Health,232329,8,No Claim
CUSQ5GZRCIE5FVE,PROD106272,General,115933,11,No Claim
CUSPQORO5INR4MJ,PROD106280,Health,148324,24,No Claim
551497460698,PROD106282,Life,199601,24,No Claim
174991412172,PROD106287,General,101294,23,No Claim
CUSC6WV0OMW071X,PROD106290,Health,247576,17,No Claim
CUSED4GP1YIOLR3,PROD106300,Life,247684,23,No Claim
CUS9VOQF2XD9A8N,PROD106318,Life,45202,23,No Claim
CUS7MKTEAT7QLHF,PROD106320,General,196916,17,No Claim
CUSYQA1RS0983YE,PROD106322,General,197309,6,No Claim
CUS787XJJW8BKUV,PROD106323,Life,156366,19,No Claim
CUSQ4VHU4BAWZ94,PROD106334,Life,229344,20,No Claim
559039991383,PROD106335,Life,49340,8,No Claim
CUSYX28XETLWGQ1,PROD106340,Life,162247,13,No Claim
CUS796MRT44CDQ6,PROD106344,Life,124681,12,No Claim
CUSG1S1RBZEDEPA,PROD106347,General,220765,5,No Claim
CUS6WY966PJOIOM,PROD106349,Life,163810,13,No Claim
CUSVIFMISM2KQ46,PROD106351,General,133984,20,No Claim
CUSGB2RH7326XPJ,PROD106358,Life,116177,5,Claim Settled
CUS3FW26F1WBXOC,PROD106362,Health,235172,12,No Claim
CUSJ8B04P6IXMNU,PROD106371,General,177663,21,No Claim
CUSJ8OJ6F9Q4FNN,PROD106374,Health,226954,9,Claim Filed
CUSK8TEAY2RF9KE,PROD106387,Health,44073,20,No Claim
CUSC6GPLP9L4T5O,PROD106389,General,43505,12,No Claim
CUSAOMYPUZ7ERS6,PROD106390,Health,66743,8,No Claim
CUSMRBYIYCGKRX9,PROD106392,Life,131471,25,No Claim
CUSOM44ZDTKGYGL,PROD106395,General,96368,17,No Claim
CUS7VYAL6B3SQ4H,PROD106399,Health,55143,18,No Claim
CUSGIAIPFIZRWH7,PROD106406,Life,169335,22,No Claim
CUSS8IKMSZA10TN,PROD106409,General,34301,13,No Claim
CUS9AT40IAMUDL7,PROD106418,Life,205177,20,No Claim
CUSASOLANP48ZUZ,PROD106421,Life,248847,22,No Claim
CUSV210T6KIJN9J,PROD106425,Life,122264,12,Claim Filed
CUSUGUKABAA2CQV,PROD106426,Health,189291,10,No Claim
CUSBX96D1QPZHA3,PROD106441,General,224128,22,No Claim
CUSRBE4LZOKKZF2,PROD106443,Life,95591,6,No Claim
CUSH66FIEOUWTQC,PROD106452,General,141605,19,No Claim
CUS29B457RZL0NK,PROD106455,General,230863,19,No Claim
CUS9OG0K1PRYCSY,PROD106461,General,156824,5,No Claim
CUS33RQDNS11FEW,PROD106467,Life,93507,25,No Claim
456787825551,PROD106472,Life,191560,16,No Claim
CUSNTFPCCTLXDL4,PROD106473,Life,214817,8,No Claim
CUSQZLDD2H9AA4U,PROD106476,Health,96543,24,No Claim
CUSIGYTHLQ837YP,PROD106492,General,200280,11,No Claim
CUS6TQ7JSTQ6XL6,PROD106495,Life,74629,7,No Claim
CUSW49FF45FRM53,PROD106501,Life,149536,22,No Claim
CUSP7N6YGC935I7,PROD106504,Life,229522,24,No Claim
CUS7N6HS8VAJBFA,PROD106507,General,225401,11,No Claim
576239998807,PROD106509,General,149457,18,No Claim
CUSO1J0ZQ8Q5TFE,PROD106513,Life,25540,19,No Claim
CUSKWP60DIRVYWS,PROD106528,Life,91451,21,No Claim
CUS9SC5JTQD2AEZ,PROD106531,Life,142181,11,No Claim
CUSPACGYU25Q0FO,PROD106533,General,44931,24,Claim Filed
CUSQ93UXMEEUKK9,PROD106538,Life,170009,8,No Claim
CUSZJET535EMNJG,PROD106544,Life,43281,23,No Claim
CUS62NZWAVLB4AK,PROD106551,Health,167998,15,No Claim
CUSR4YCYRYQ6VCX,PROD106558,Life,74245,15,No Claim
CUSU9W6FUFCSF1U,PROD106565,Health,177430,23,No Claim
CUS4IBHRQJUYHTZ,PROD106569,Health,163838,19,No Claim
451528646927,PROD106575,General,188513,15,No Claim
CUSDHFLQRQEXUC1,PROD106582,General,147835,8,No Claim
CUSDSU5W45QCTEV,PROD106584,General,159032,8,No Claim
CUSKMBGF4OWWMDD,PROD106585,Health,107308,13,No Claim
CUS7OG4ZRB18GG9,PROD106586,Health,62483,24,No Claim
104413914169,PROD106602,General,139710,8,No Claim
CUSV6M05OMOH0UB,PROD106606,General,148598,6,No Claim
CUSUIE2TXZ7URKE,PROD106610,Health,161326,24,No Claim
CUSKZL5AJRX17NK,PROD106612,Health,164020,8,No Claim
CUSIEJER5YUPBJ9,PROD106621,Health,119552,21,No Claim
CUSG1I3H8P0V8XT,PROD106623,General,214206,17,No Claim
CUSD9NOC2USB2IE,PROD106624,Life,227492,25,No Claim
CUS8J086QCPCZAO,PROD106625,Health,157031,19,No Claim
CUSMTEQLQA32PNZ,PROD106627,Life,225574,25,No Claim
CUSEB58EIC2YB5C,PROD106630,General,193905,22,No Claim
CUSB40BLJI5M9OE,PROD106632,General,172505,23,No Claim
348410582238,PROD106634,Health,189691,12,No Claim
CUSSAD5C2IMJ2XK,PROD106644,General,69426,15,No Claim
CUSMO7WG0XFEVQ8,PROD106655,General,163460,9,No Claim
CUS7OP8NRPTJ66J,PROD106662,Life,92384,16,No Claim
CUS7JZ1W0ILZMVA,PROD106665,General,81771,5,No Claim
CUSINM1KJBDIGRY,PROD106668,Life,35205,15,No Claim
CUSCQ2DO2IX1DX5,PROD106673,General,97800,19,No Claim
829052451882,PROD106675,General,37298,18,No Claim
CUS53NOZ7QMJCEN,PROD106680,General,188623,21,No Claim
CUS6GOPIZBQMU1N,PROD106687,General,70824,8,No Claim
CUS9TKV690MDUZY,PROD106691,Health,142917,5,No Claim
528980571469,PROD106692,Life,182117,10,No Claim
CUS171HK6VG8TDG,PROD106694,General,73538,19,No Claim
CUSN6ZG8KPXMXSQ,PROD106696,General,179271,18,No Claim
CUSV5O9L8VNT7CZ,PROD106698,General,55445,16,No Claim
200840276950,PROD106714,General,73956,17,No Claim
CUSOJ3784MCEODW,PROD106715,Life,243754,25,No Claim
CUSAOLKE621FCBN,PROD106720,Life,144099,7,No Claim
CUSFHKYNJ5OZBYM,PROD106723,General,116040,23,No Claim
CUSXHLF2CBPJ4T9,PROD106732,Life,85845,6,No Claim
CUSGFWJ6JYIDR6X,PROD106736,Life,30949,18,No Claim
CUSH8N92TP6QAQ3,PROD106737,General,157013,15,No Claim
CUS0JL5UT2FVDU2,PROD106753,General,242381,15,No Claim
CUS4KWYPDJ4YR52,PROD106761,Life,106342,6,No Claim
CUSGWH1RETMEFO4,PROD106764,Life,35811,9,No Claim
CUSYF4LSWP8VOMH,PROD106768,Life,90715,22,No Claim
203645064708,PROD106772,Health,156720,19,Claim Filed
CUSZ2RBKZCFDKBE,PROD106774,Life,60540,6,No Claim
CUS2I5LUY3R4FZO,PROD106779,Health,71656,7,Claim Settled
CUSDNRK4JXFO1CD,PROD106787,General,160582,20,No Claim
CUSQ0PVVY0BGNZJ,PROD106791,Health,52838,19,No Claim
CUSWYG8HOVUCJ90,PROD106796,Life,214660,6,Claim Filed
367476281032,PROD106797,Health,64373,22,No Claim
CUSEYH61HSXIPA1,PROD106798,Health,120373,25,No Claim
CUSWV976XJ5OC6G,PROD106804,Health,177133,14,No Claim
CUSGXL8IS9MCJ5Z,PROD106820,Health,131390,14,No Claim
CUSKW2Z1FL3D64L,PROD106834,Life,128649,9,No Claim
CUS9WI9IJBN9FQ5,PROD106840,Life,53972,14,No Claim
CUSCV05IS28QH7H,PROD106842,General,162090,22,No Claim
CUS88VO1WNV06OJ,PROD106847,General,40304,12,No Claim
CUSG4YIHFOSCECA,PROD106848,General,158918,19,No Claim
CUSVOJJYV3UD6PV,PROD106851,Health,246607,19,No Claim
CUS7QN5UHMPD26P,PROD106852,Life,191426,5,No Claim
CUSL2SE8M84D0KD,PROD106856,Health,150442,10,No Claim
CUSMMIN2AKBX3K9,PROD106857,General,87598,23,No Claim
CUSE8S8U1QWD5CX,PROD106859,General,129908,14,No Claim
CUSOEIEWU92QO4V,PROD106861,Health,207009,14,No Claim
CUSE1RHWVMY1JAG,PROD106878,Life,96859,23,No Claim
461396281065,PROD106879,General,45936,15,No Claim
CUSSJWH55HEWLGJ,PROD106883,Health,173882,6,No Claim
CUSB2G8FUG9YTSY,PROD106886,Life,128472,5,No Claim
CUSZ6E4PH7X3V0T,PROD106889,General,184990,18,No Claim
CUS0RXVX3C4P1YF,PROD106891,Health,159689,7,No Claim
CUSVI1BLN0ZH7TI,PROD106899,Health,152828,22,No Claim
CUSOHYVMTT71ELO,PROD106907,Life,209128,9,No Claim
CUSFAVJ4V2Q630R,PROD106908,Health,206016,11,No Claim
CUS5FLUZHAQNWCZ,PROD106910,Life,137940,20,No Claim
CUS7YFX5A6DZOW0,PROD106915,Life,193292,23,No Claim
CUS49QHRAGA8Z1J,PROD106917,Health,246787,6,No Claim
CUS1HYSYU2N6P4R,PROD106923,Health,118909,7,No Claim
CUSJX5W3OZYBBBM,PROD106925,Life,91299,15,No Claim
CUSPEJY83XHU7MC,PROD106937,Life,219844,14,No Claim
CUSKO912BPCYE1Y,PROD106939,General,76130,19,No Claim
CUSM1OQQC7IX6JU,PROD106940,General,235914,7,No Claim
CUSDRIYWAS9HTS3,PROD106942,Health,83285,12,No Claim
CUS1MIDZAAE74B4,PROD106948,General,89093,15,No Claim
CUSG9LPTOFOJXPF,PROD106950,General,211845,10,No Claim
CUSGOTDAUZ2HZZU,PROD106953,Life,248359,20,No Claim
CUSPH556UX4RN4V,PROD106959,General,245771,22,No Claim
696415919186,PROD106961,Life,53993,17,No Claim
CUSFOXQ24GI0GPI,PROD106965,Health,44467,7,No Claim
167584509565,PROD106967,Health,177482,16,No Claim
CUS3U2RCHE8ENFW,PROD106968,General,127553,13,No Claim
CUS3JT8LGO8C475,PROD106971,Health,60719,5,No Claim
CUS79UBMGD1EIE6,PROD106972,Life,73644,6,No Claim
CUS3FFMDI2OX979,PROD106976,Health,206534,10,No Claim
CUSLJNYW8SBMZX0,PROD106977,General,158854,19,No Claim
CUSSIOW2OB29KI7,PROD106979,Health,220715,13,No Claim
CUS95B302QD2EW0,PROD106981,General,74639,10,No Claim
CUSQC8HHEY76VO3,PROD106983,Life,223821,14,No Claim
CUSGGJWFBWG2KO5,PROD106986,General,30069,8,No Claim
CUS9MPT6VE0WGSF,PROD106989,Health,199272,9,No Claim
CUSGFTC45YVY620,PROD106992,Life,235952,12,No Claim
CUSC8C83JHS2QSY,PROD106996,General,109550,19,No Claim
818180827348,PROD107001,Health,122351,16,No Claim
CUSZMGKAQR3QEB5,PROD107005,Life,175040,9,No Claim
CUSWOCQJR6VH5Y6,PROD107006,General,148481,24,No Claim
CUS39IBSUC81HIA,PROD107011,Health,243235,22,No Claim
CUS9DW7ZPEUWDNV,PROD107013,General,199361,20,No Claim
CUS5CEQR8F1MHHQ,PROD107024,Life,238797,9,No Claim
CUSIAV60349RA2S,PROD107038,General,212647,19,No Claim
CUSSV22HRLWYH06,PROD107040,General,41201,10,No Claim
CUSTE9HXVDC44W7,PROD107045,Health,85683,17,No Claim
CUSP62J4XYBRXFX,PROD107046,General,224380,6,No Claim
CUS71GODIWDRF9C,PROD107047,Life,184586,12,No Claim
CUSG7V2MUOU7MFY,PROD107050,General,235578,21,No Claim
CUSR9EWJ04FCUOS,PROD107058,General,201413,19,No Claim
CUS4MGO62BSAZWT,PROD107069,Health,139910,19,Claim Settled
CUSYTZRPMGLOTIC,PROD107075,General,166109,25,No Claim
CUSXWARZ48MGR8P,PROD107084,Life,76963,17,No Claim
CUSCD9BFJJBJXAN,PROD107085,Health,122890,24,No Claim
CUSJN1X4T8R3GQZ,PROD107088,General,130559,25,No Claim
CUSHR16SZD1V2QN,PROD107097,Life,181717,21,No Claim
CUSW3L3ER6Y140B,PROD107098,Life,111023,13,No Claim
616136729203,PROD107100,Health,143855,14,No Claim
CUS16HC1AX6JC4J,PROD107116,Health,147065,7,No Claim
CUSIMCHRLTP6C1Q,PROD107125,Life,112414,7,No Claim
CUS7EFTSQL49LAI,PROD107128,General,172753,13,No Claim
CUSEBTBDDKOX42A,PROD107132,General,172371,8,No Claim
CUSAQ2UC88X6BAF,PROD107136,Health,202247,24,No Claim
CUSYHCTXD7GZCOT,PROD107138,General,66697,12,No Claim
176170505128,PROD107139,Health,149470,23,No Claim
CUSF3F077ELTWL1,PROD107141,General,157503,24,No Claim
179904845955,PROD107143,Health,92116,9,No Claim
CUSAVX4CBFWDD96,PROD107148,General,168220,25,No Claim
CUSVQ1TXTD2WB7R,PROD107151,Life,233469,10,No Claim
CUSX0CT40JRHVNV,PROD107171,Health,241789,19,No Claim
CUSHMQ3LX8P8X26,PROD107185,General,118311,22,No Claim
CUS89XYFF0OAKH9,PROD107190,Health,123589,23,No Claim
CUS92WFQLM6251M,PROD107191,Life,150260,14,No Claim
CUSQ92W0V73H94Z,PROD107207,General,125908,11,No Claim
CUSPZM3J3F7YO2O,PROD107217,Life,106898,5,No Claim
CUSE4R0P5Q8ANPD,PROD107222,General,218800,20,No Claim
CUS6P046UIM9CHZ,PROD107226,Health,60133,18,No Claim
CUSQO9BYZC9HAFZ,PROD107227,Life,138389,12,No Claim
CUSC0HHGIQFGMFL,PROD107230,General,232345,12,No Claim
CUSX1B1RSVT3QQL,PROD107241,General,157993,11,No Claim
CUSHA1TK0QJRA5N,PROD107251,General,49844,25,No Claim
CUS1462HWB5UWU8,PROD107254,Life,185072,22,No Claim
CUS6VCKJBKHX2R4,PROD107256,Health,71487,22,No Claim
CUSJX0Y967ZF8UW,PROD107261,Life,142475,9,Claim Settled
CUSCSPFF56SQDRT,PROD107274,Health,184945,20,No Claim
CUSCUSRQ33QICO1,PROD107275,General,223949,21,Claim Settled
CUSPDFUZ5WP9HTK,PROD107277,Life,222264,9,No Claim
CUS6PXHPM53KTDZ,PROD107289,Life,38822,23,No Claim
CUSCOA876X1AK42,PROD107295,General,221206,15,No Claim
CUSBE7KOP7T2K6X,PROD107296,Health,113569,13,No Claim
CUSJ8U2X7WFI868,PROD107298,General,119903,13,No Claim
CUS0USOAODI90WM,PROD107300,Life,69916,21,No Claim
CUSXCF725PJVWOZ,PROD107303,Health,181176,8,No Claim
122220985518,PROD107304,Health,44155,17,No Claim
CUSKU22TE1B1FTK,PROD107306,Health,82584,9,No Claim
CUSXLHP7QXW7ROM,PROD107307,General,42251,12,No Claim
CUSTYO80E301RPU,PROD107319,Health,38918,9,No Claim
CUSIJ6LNY6WNGHY,PROD107326,Life,108129,8,Claim Filed
CUSVY95AP5VCPR7,PROD107333,Health,202878,20,No Claim
CUSIOM4ROG3SJ1R,PROD107335,Health,31822,5,No Claim
CUSC47B9ZL24PQY,PROD107337,Life,227711,12,No Claim
CUSFJWOWCNESV3L,PROD107342,Life,180829,19,No Claim
CUS92QO300TNNC6,PROD107349,General,191390,8,No Claim
CUSY00QTQBOFE8L,PROD107350,Health,188422,5,No Claim
CUSLZZO33BN5IL9,PROD107353,General,237881,10,No Claim
CUSICNT4F147QJQ,PROD107358,Life,124792,22,No Claim
CUS8M9ESE59XN1N,PROD107362,General,156820,23,No Claim
CUS84ESLKLKB1Z0,PROD107364,General,69655,16,No Claim
CUSP6VWU3CLDU4X,PROD107374,Health,222108,20,No Claim
CUSHPYNBIK8NX55,PROD107379,Health,126887,9,No Claim
575040144441,PROD107380,Health,187884,16,No Claim
CUS8XP4BSMGEHC5,PROD107393,Health,234774,19,No Claim
CUS5AB98XA2K0KA,PROD107395,Life,164826,7,No Claim
CUSAP97A7MM6KSW,PROD107397,Life,102194,13,No Claim
CUSQ6549SNJ1V8P,PROD107399,Life,212931,9,No Claim
CUSASE3SBRZZOGG,PROD107400,Life,219263,12,No Claim
CUSNIYYWHPZ0G4B,PROD107408,General,219674,11,No Claim
CUSI0XXE0OD4T8X,PROD107410,General,60045,23,No Claim
CUS90DERNED1UPV,PROD107413,General,241096,19,No Claim
CUSQOK858D65T3G,PROD107414,Life,217928,17,No Claim
188877818726,PROD107415,General,144737,21,No Claim
CUSRMRZ9FAT62KP,PROD107418,General,87177,21,No Claim
CUSMHZRW6G5EGDX,PROD107420,Life,62912,7,No Claim
646183144042,PROD107422,Life,119089,10,No Claim
CUSJKFCQJUKURK1,PROD107423,General,137498,11,No Claim
CUSCHXTZZHTDABY,PROD107429,Life,85389,5,No Claim
CUS2C5PUD6KU3P8,PROD107431,Health,119988,12,No Claim
CUSJMISAHA9HU56,PROD107433,General,74744,24,No Claim
CUSIZQAYJBNOOQX,PROD107436,Life,88297,15,No Claim
CUS8LW6GK2N1368,PROD107437,Life,75750,6,No Claim
CUS5OWYB3LHZFT5,PROD107440,Health,123238,23,No Claim
643926327436,PROD107451,Health,110121,14,No Claim
CUSYKG38S30F7M0,PROD107454,Life,40520,19,No Claim
CUSQWPRZF0O4TAB,PROD107464,Health,46644,9,No Claim
CUSVPXE5DDQPBS2,PROD107468,Life,46228,7,No Claim
CUS8DQSMBJKDSO2,PROD107476,Life,223631,22,No Claim
281368349472,PROD107484,Health,62007,17,No Claim
CUSWCLLL8V7QOZC,PROD107490,Life,247649,14,No Claim
CUSSP7HGPUO9DWA,PROD107491,Health,114172,9,No Claim
CUS5H78ZCO7I4CE,PROD107494,Health,245372,25,No Claim
876765634143,PROD107496,General,222357,15,No Claim
CUSGP8Y1LR1FUF1,PROD107497,General,31622,8,No Claim
CUS5PFU95U2EDV8,PROD107506,General,135606,12,Claim Filed
421011083300,PROD107507,Life,57397,8,No Claim
CUS5E2E1E4DBZ2R,PROD107511,General,99029,20,No Claim
CUSF0PNVBEIDIY0,PROD107519,Health,176430,13,No Claim
176723893553,PROD107524,Health,131372,25,No Claim
CUSB7UGJOTQ2PJI,PROD107528,Health,83367,6,No Claim
CUSP014X5DLWY1P,PROD107529,General,82569,14,No Claim
CUS9YNZ51MGY1EC,PROD107564,Health,200845,10,No Claim
CUSNXO2T88EAYN0,PROD107565,General,243099,8,No Claim
CUSVMO6SQOZDSO9,PROD107566,General,27863,19,No Claim
CUSUDN740YGCKVK,PROD107568,Life,128759,5,No Claim
CUSLMBL3NS8XHXT,PROD107571,General,141117,23,No Claim
CUSL473WLR57YUA,PROD107574,Life,60203,5,No Claim
CUSRUPBOT2YPZK7,PROD107575,Life,173951,17,No Claim
CUS6V85PBMUF7T5,PROD107578,General,168802,14,No Claim
CUSGY8A57RPOJQA,PROD107582,Life,96339,15,No Claim
CUSUIE2TXZ7URKE,PROD107583,Health,118480,14,No Claim
970056386399,PROD107591,General,104993,22,No Claim
CUS46BE5JEHW2AU,PROD107597,Health,86781,20,No Claim
CUSBXTJ9P3VULRR,PROD107600,Health,130764,8,No Claim
CUSJR9V5PL4Y4OM,PROD107611,Health,233067,14,No Claim
CUSC6RCE3KBIROA,PROD107615,Health,126037,24,Claim Filed
CUS5KD7926PWBAG,PROD107618,Life,38663,10,No Claim
CUSQ84B8GPTU3VA,PROD107630,General,92490,8,No Claim
CUSWMA3SKIR2ZEA,PROD107638,Health,83431,18,No Claim
CUSV5LZP8MQGL63,PROD107662,Life,97845,6,No Claim
CUSCH3O1HC1VGGB,PROD107675,Health,168638,8,No Claim
CUSITNGVN1KICJN,PROD107680,General,103066,5,Claim Settled
CUSPPOZ4VWD0L4K,PROD107682,Life,100099,20,No Claim
CUSTSJ4D48SX5P5,PROD107684,Life,212755,21,No Claim
649458786154,PROD107686,Life,162597,11,No Claim
CUSY9INBETHIZ3E,PROD107687,Health,212267,13,No Claim
476640807552,PROD107694,General,40865,14,No Claim
CUSLSR1LIMUEM10,PROD107698,Health,193799,9,No Claim
CUS9DQXEJCCOFB4,PROD107701,Health,229135,25,No Claim
483084285591,PROD107707,General,168047,14,Claim Filed
CUSU5JDXQP2INDB,PROD107711,Health,126445,21,No Claim
CUSP4J8HYHE9TV1,PROD107712,Health,234598,16,No Claim
290365810598,PROD107713,Health,39812,20,No Claim
CUSZBS6K7XGH7II,PROD107715,General,82885,12,Claim Settled
CUSWLON22C614CZ,PROD107723,Health,100429,22,No Claim
CUSV9LY3NFXF4US,PROD107730,Life,91849,15,No Claim
251312124080,PROD107735,General,131158,19,No Claim
CUSXZ7UPGYR858N,PROD107751,Health,244363,20,No Claim
CUSVAQ6JC15GYIC,PROD107752,Life,220814,10,No Claim
CUSS6OER53SCA3B,PROD107754,Health,43778,13,No Claim
CUSCKKKS30APCJS,PROD107759,General,50369,6,No Claim
CUSQPVZYHYKLG20,PROD107764,Health,210484,9,No Claim
CUSKQPEL4HZBFPM,PROD107768,General,50166,6,No Claim
CUSY6JE8PH142CM,PROD107769,General,28039,9,No Claim
CUSAPTB9IX4HXXS,PROD107771,Life,31703,19,No Claim
CUSYDTOPNFY4C8R,PROD107774,Health,43849,21,No Claim
