Customer/Merchant ID,Lead Source,Lead Status,Follow-up Date,Remarks
YESB58396680,Referral,Converted,2024-03-24 00:00:00,Called for FD
YESB89919437,Digital Campaign,Lost,2024-08-21 00:00:00,Wait for salary credit
YESB83676435,Referral,In Progress,2024-03-03 00:00:00,KYC Pending
YESB24529378,Referral,Converted,2024-01-15 00:00:00,Interested in HL
YESB25330426,Referral,In Progress,2024-10-23 00:00:00,Interested in HL
YESB77756686,Referral,Lost,2024-03-28 00:00:00,KYC Pending
YESB84765340,Digital Campaign,Lost,2024-09-15 00:00:00,Wait for salary credit
YESB16054973,Digital Campaign,Lost,2024-12-13 00:00:00,Wait for salary credit
YESB88219351,Walk-in,Converted,2024-04-03 00:00:00,Wait for salary credit
YESB65595196,Referral,Lost,2024-03-25 00:00:00,Wait for salary credit
YESB67798312,Walk-in,Converted,2024-01-03 00:00:00,KYC Pending
YESB89146821,Digital Campaign,Lost,2024-10-19 00:00:00,Interested in HL
YESB45493277,Digital Campaign,Converted,2024-02-11 00:00:00,Interested in HL
YESB59913295,Walk-in,Lost,2024-03-11 00:00:00,KYC Pending
YESB22495757,Walk-in,Converted,2024-11-13 00:00:00,Wait for salary credit
YESB42679989,Referral,Lost,2024-07-19 00:00:00,KYC Pending
YESB12205022,Digital Campaign,Converted,2024-06-17 00:00:00,Interested in HL
YESB60637783,Referral,In Progress,2024-02-16 00:00:00,Called for FD
YESB89488918,Digital Campaign,Converted,2024-02-29 00:00:00,KYC Pending
YESB85785534,Referral,In Progress,2024-02-26 00:00:00,Wait for salary credit
YESB94990961,Digital Campaign,Converted,2024-06-06 00:00:00,Called for FD
YESB75080672,Referral,Converted,2024-11-09 00:00:00,Interested in HL
YESB71377595,Referral,In Progress,2024-11-02 00:00:00,Called for FD
YESB57235697,Digital Campaign,Converted,2024-03-20 00:00:00,Wait for salary credit
YESB97758074,Walk-in,Lost,2024-12-13 00:00:00,Called for FD
YESB72794021,Digital Campaign,In Progress,2024-02-23 00:00:00,KYC Pending
YESB25700019,Digital Campaign,In Progress,2024-06-28 00:00:00,Called for FD
YESB77663241,Digital Campaign,Converted,2024-10-04 00:00:00,Interested in HL
YESB89997743,Digital Campaign,In Progress,2024-08-14 00:00:00,Wait for salary credit
YESB86141238,Walk-in,In Progress,2024-03-03 00:00:00,Wait for salary credit
YESB67793981,Referral,Lost,2024-04-03 00:00:00,Interested in HL
YESB76335778,Referral,In Progress,2024-01-21 00:00:00,Called for FD
YESB51072014,Digital Campaign,In Progress,2024-05-11 00:00:00,Interested in HL
YESB11545677,Walk-in,In Progress,2024-07-18 00:00:00,KYC Pending
YESB37075693,Walk-in,In Progress,2024-05-24 00:00:00,Wait for salary credit
YESB15369909,Walk-in,In Progress,2024-06-28 00:00:00,KYC Pending
YESB89699553,Referral,Converted,2024-01-21 00:00:00,KYC Pending
YESB50308461,Referral,Lost,2024-04-21 00:00:00,Interested in HL
YESB76813540,Referral,Converted,2024-08-16 00:00:00,Interested in HL
YESB87560304,Digital Campaign,Converted,2024-12-27 00:00:00,Interested in HL
YESB11473425,Digital Campaign,Lost,2024-10-15 00:00:00,Wait for salary credit
YESB64167365,Walk-in,Lost,2024-10-23 00:00:00,KYC Pending
YESB43425542,Walk-in,Converted,2024-07-17 00:00:00,KYC Pending
YESB94723759,Digital Campaign,In Progress,2024-03-21 00:00:00,Wait for salary credit
YESB45253677,Walk-in,In Progress,2024-02-12 00:00:00,KYC Pending
YESB71484269,Digital Campaign,Lost,2024-04-26 00:00:00,Wait for salary credit
YESB12050005,Digital Campaign,Converted,2024-09-03 00:00:00,KYC Pending
YESB10330373,Digital Campaign,Converted,2024-04-04 00:00:00,KYC Pending
YESB82529247,Digital Campaign,In Progress,2024-07-18 00:00:00,Interested in HL
YESB11031920,Referral,In Progress,2024-01-24 00:00:00,Interested in HL
YESB77656246,Walk-in,Lost,2024-01-20 00:00:00,KYC Pending
YESB76579125,Digital Campaign,In Progress,2024-11-18 00:00:00,Interested in HL
YESB44045581,Walk-in,Lost,2024-07-07 00:00:00,Called for FD
YESB52619754,Digital Campaign,Lost,2024-06-23 00:00:00,Interested in HL
YESB92168516,Walk-in,Converted,2024-01-31 00:00:00,Interested in HL
YESB63990493,Digital Campaign,Lost,2024-08-26 00:00:00,Interested in HL
YESB30355062,Digital Campaign,Lost,2024-05-23 00:00:00,Wait for salary credit
YESB45004259,Referral,Lost,2024-04-06 00:00:00,Interested in HL
YESB75805374,Walk-in,Lost,2024-08-22 00:00:00,Interested in HL
YESB65808025,Walk-in,Converted,2024-06-28 00:00:00,Wait for salary credit
YESB93825889,Referral,Converted,2024-02-20 00:00:00,KYC Pending
YESB61266101,Digital Campaign,In Progress,2024-11-27 00:00:00,Interested in HL
YESB89777333,Referral,Converted,2024-10-20 00:00:00,Interested in HL
YESB63007328,Walk-in,In Progress,2024-12-15 00:00:00,KYC Pending
YESB23229416,Digital Campaign,In Progress,2024-06-18 00:00:00,Interested in HL
YESB93830000,Referral,Lost,2024-09-24 00:00:00,KYC Pending
YESB38358084,Digital Campaign,Lost,2024-07-02 00:00:00,Interested in HL
YESB78217886,Digital Campaign,Converted,2024-08-04 00:00:00,Called for FD
YESB23669202,Digital Campaign,In Progress,2024-10-24 00:00:00,Interested in HL
YESB94861934,Walk-in,In Progress,2024-09-10 00:00:00,KYC Pending
YESB26508886,Walk-in,In Progress,2024-04-18 00:00:00,KYC Pending
YESB56913394,Digital Campaign,In Progress,2024-10-25 00:00:00,Interested in HL
YESB76645676,Walk-in,In Progress,2024-01-23 00:00:00,Interested in HL
YESB54796889,Referral,Converted,2024-09-19 00:00:00,Called for FD
YESB86317514,Digital Campaign,In Progress,2024-07-14 00:00:00,Wait for salary credit
YESB14586386,Referral,Lost,2024-06-26 00:00:00,Interested in HL
YESB19320372,Walk-in,In Progress,2024-09-30 00:00:00,Wait for salary credit
YESB95404830,Digital Campaign,Lost,2024-02-29 00:00:00,Wait for salary credit
YESB59109244,Walk-in,In Progress,2024-04-02 00:00:00,Interested in HL
YESB39060881,Walk-in,Converted,2024-05-26 00:00:00,Called for FD
YESB47440311,Digital Campaign,Lost,2024-09-24 00:00:00,KYC Pending
YESB87138080,Walk-in,Converted,2024-04-21 00:00:00,Called for FD
YESB79961146,Walk-in,In Progress,2024-01-15 00:00:00,Called for FD
YESB90954816,Digital Campaign,Lost,2024-06-11 00:00:00,Called for FD
YESB27745138,Referral,In Progress,2024-03-14 00:00:00,Wait for salary credit
YESB42615887,Digital Campaign,Converted,2024-03-24 00:00:00,KYC Pending
YESB58272301,Digital Campaign,In Progress,2024-09-23 00:00:00,Interested in HL
YESB29318285,Walk-in,Converted,2024-11-11 00:00:00,Called for FD
YESB92836592,Referral,In Progress,2024-10-01 00:00:00,Interested in HL
YESB19562554,Walk-in,In Progress,2024-05-05 00:00:00,Called for FD
YESB58302088,Referral,In Progress,2024-11-09 00:00:00,Called for FD
YESB22761804,Walk-in,Converted,2024-04-20 00:00:00,KYC Pending
YESB12916353,Walk-in,In Progress,2024-08-13 00:00:00,Called for FD
YESB11434586,Walk-in,In Progress,2024-06-12 00:00:00,Wait for salary credit
YESB57924019,Walk-in,In Progress,2024-05-19 00:00:00,Called for FD
YESB28178587,Digital Campaign,In Progress,2024-08-08 00:00:00,Wait for salary credit
YESB14352498,Digital Campaign,In Progress,2024-04-23 00:00:00,Wait for salary credit
YESB80505715,Digital Campaign,In Progress,2024-11-28 00:00:00,Wait for salary credit
YESB27604516,Digital Campaign,Lost,2024-12-08 00:00:00,Wait for salary credit
YESB36720064,Walk-in,In Progress,2024-09-19 00:00:00,Wait for salary credit
YESB66173024,Digital Campaign,Converted,2024-11-25 00:00:00,Wait for salary credit
YESB50913151,Walk-in,Converted,2024-05-24 00:00:00,Interested in HL
YESB92400880,Walk-in,Converted,2024-08-01 00:00:00,KYC Pending
YESB44054855,Walk-in,Converted,2024-11-03 00:00:00,Interested in HL
YESB25360371,Walk-in,Converted,2024-10-04 00:00:00,Interested in HL
YESB36402772,Digital Campaign,Lost,2024-08-03 00:00:00,KYC Pending
YESB70300498,Walk-in,Lost,2024-09-18 00:00:00,Interested in HL
YESB96716088,Digital Campaign,In Progress,2024-11-11 00:00:00,Interested in HL
YESB56098194,Digital Campaign,Lost,2024-11-26 00:00:00,Interested in HL
YESB12704810,Referral,Converted,2024-07-02 00:00:00,Wait for salary credit
YESB22354214,Digital Campaign,In Progress,2024-08-01 00:00:00,Called for FD
YESB54689966,Digital Campaign,Converted,2024-01-08 00:00:00,Called for FD
YESB82149958,Walk-in,Converted,2024-07-14 00:00:00,Called for FD
YESB45095884,Referral,Converted,2024-05-21 00:00:00,Called for FD
YESB91772171,Digital Campaign,Lost,2024-09-20 00:00:00,Interested in HL
YESB52240618,Referral,In Progress,2024-06-14 00:00:00,KYC Pending
YESB11823202,Walk-in,In Progress,2024-04-16 00:00:00,Interested in HL
YESB84601733,Digital Campaign,Converted,2024-02-16 00:00:00,Interested in HL
YESB33290115,Walk-in,Lost,2024-08-11 00:00:00,Interested in HL
YESB51862957,Walk-in,In Progress,2024-10-14 00:00:00,KYC Pending
YESB58691841,Digital Campaign,In Progress,2024-11-03 00:00:00,Interested in HL
YESB89523663,Referral,In Progress,2024-07-04 00:00:00,KYC Pending
YESB76257784,Digital Campaign,Converted,2024-02-03 00:00:00,KYC Pending
YESB80913466,Walk-in,Converted,2024-02-19 00:00:00,KYC Pending
YESB33117317,Walk-in,Lost,2024-04-20 00:00:00,KYC Pending
YESB85584899,Walk-in,Converted,2024-05-04 00:00:00,KYC Pending
YESB81229181,Referral,Converted,2024-10-20 00:00:00,Interested in HL
YESB71963392,Walk-in,Lost,2024-04-17 00:00:00,KYC Pending
YESB15123062,Referral,Converted,2024-09-03 00:00:00,Wait for salary credit
YESB48147889,Digital Campaign,Lost,2024-06-23 00:00:00,Interested in HL
YESB85293441,Digital Campaign,Lost,2024-03-22 00:00:00,Interested in HL
YESB93834042,Referral,In Progress,2024-11-13 00:00:00,Called for FD
YESB59880610,Referral,In Progress,2024-05-11 00:00:00,KYC Pending
YESB25668018,Digital Campaign,Converted,2024-02-25 00:00:00,KYC Pending
YESB53438666,Walk-in,In Progress,2024-03-31 00:00:00,Called for FD
YESB33619152,Digital Campaign,Lost,2024-02-15 00:00:00,Called for FD
YESB98014219,Digital Campaign,Converted,2024-11-25 00:00:00,KYC Pending
YESB10134671,Walk-in,Converted,2024-04-01 00:00:00,Wait for salary credit
YESB93226911,Digital Campaign,Lost,2024-09-03 00:00:00,Interested in HL
YESB52731403,Referral,Lost,2024-11-02 00:00:00,Called for FD
YESB23748162,Walk-in,In Progress,2024-02-14 00:00:00,Called for FD
YESB55190589,Walk-in,In Progress,2024-10-04 00:00:00,Wait for salary credit
YESB39040845,Referral,Converted,2024-06-23 00:00:00,Interested in HL
YESB28095940,Digital Campaign,Lost,2024-06-29 00:00:00,Wait for salary credit
YESB56841194,Digital Campaign,In Progress,2024-02-14 00:00:00,KYC Pending
YESB30659058,Walk-in,Lost,2024-05-28 00:00:00,Called for FD
YESB67305432,Referral,Lost,2024-11-09 00:00:00,Interested in HL
YESB25826583,Referral,Lost,2024-03-29 00:00:00,Wait for salary credit
YESB16898695,Referral,In Progress,2024-04-07 00:00:00,Wait for salary credit
YESB23183629,Digital Campaign,In Progress,2024-07-22 00:00:00,KYC Pending
YESB98671735,Digital Campaign,In Progress,2024-10-15 00:00:00,Called for FD
YESB71273160,Referral,In Progress,2024-03-31 00:00:00,Interested in HL
YESB89065211,Walk-in,Lost,2024-12-21 00:00:00,Called for FD
YESB73580958,Digital Campaign,Converted,2024-09-17 00:00:00,Interested in HL
YESB85558052,Digital Campaign,Lost,2024-01-25 00:00:00,Called for FD
YESB54960929,Digital Campaign,Lost,2024-02-28 00:00:00,Wait for salary credit
YESB46812177,Digital Campaign,In Progress,2024-10-17 00:00:00,Interested in HL
YESB25791363,Digital Campaign,Lost,2024-03-23 00:00:00,Interested in HL
YESB43881595,Digital Campaign,Converted,2024-01-28 00:00:00,KYC Pending
YESB32668709,Digital Campaign,In Progress,2024-04-04 00:00:00,Called for FD
YESB65673694,Walk-in,In Progress,2024-10-31 00:00:00,Interested in HL
YESB49969501,Referral,In Progress,2024-03-01 00:00:00,Interested in HL
YESB40346010,Digital Campaign,Converted,2024-09-06 00:00:00,KYC Pending
YESB62902613,Referral,Lost,2024-12-02 00:00:00,Interested in HL
YESB96565226,Walk-in,In Progress,2024-09-01 00:00:00,KYC Pending
YESB66136328,Digital Campaign,Converted,2024-08-14 00:00:00,Interested in HL
YESB16079346,Digital Campaign,Lost,2024-08-11 00:00:00,KYC Pending
YESB67150407,Referral,Lost,2024-03-06 00:00:00,KYC Pending
YESB57984325,Walk-in,Lost,2024-10-14 00:00:00,Interested in HL
YESB81984534,Referral,Converted,2024-03-12 00:00:00,Interested in HL
YESB55739012,Digital Campaign,In Progress,2024-12-23 00:00:00,Interested in HL
YESB92617056,Digital Campaign,In Progress,2024-11-14 00:00:00,Called for FD
YESB89850498,Walk-in,Converted,2024-09-10 00:00:00,Wait for salary credit
YESB12918075,Walk-in,In Progress,2024-08-16 00:00:00,Called for FD
YESB68702830,Digital Campaign,Converted,2024-04-03 00:00:00,Interested in HL
YESB35519662,Walk-in,In Progress,2024-05-19 00:00:00,Called for FD
YESB13890886,Referral,In Progress,2024-05-23 00:00:00,Wait for salary credit
YESB26216772,Digital Campaign,Lost,2024-03-26 00:00:00,Interested in HL
YESB40905979,Walk-in,In Progress,2024-11-04 00:00:00,Interested in HL
YESB25680913,Walk-in,In Progress,2024-08-03 00:00:00,Interested in HL
YESB27709603,Walk-in,Converted,2024-04-13 00:00:00,KYC Pending
YESB47463396,Referral,In Progress,2024-11-17 00:00:00,Interested in HL
YESB88483840,Referral,Converted,2024-04-04 00:00:00,Called for FD
YESB81239547,Digital Campaign,Lost,2024-05-17 00:00:00,Wait for salary credit
YESB33257199,Digital Campaign,Lost,2024-10-08 00:00:00,Wait for salary credit
YESB72435985,Referral,Converted,2024-07-07 00:00:00,Called for FD
YESB31821471,Digital Campaign,Converted,2024-11-26 00:00:00,Called for FD
YESB23237651,Digital Campaign,Lost,2024-09-07 00:00:00,Wait for salary credit
YESB52319521,Digital Campaign,Lost,2024-08-12 00:00:00,Called for FD
YESB84344784,Digital Campaign,Converted,2024-12-26 00:00:00,Called for FD
YESB97450599,Digital Campaign,Converted,2024-10-23 00:00:00,KYC Pending
YESB81179091,Walk-in,Lost,2024-03-25 00:00:00,Interested in HL
YESB70373257,Digital Campaign,In Progress,2024-02-16 00:00:00,KYC Pending
YESB31193323,Walk-in,Converted,2024-09-17 00:00:00,Interested in HL
YESB95185519,Walk-in,In Progress,2024-11-27 00:00:00,KYC Pending
YESB79231000,Referral,In Progress,2024-08-04 00:00:00,KYC Pending
YESB94772009,Digital Campaign,Converted,2024-10-20 00:00:00,Interested in HL
YESB95552675,Referral,Lost,2024-10-07 00:00:00,Wait for salary credit
YESB79221844,Referral,Converted,2024-04-23 00:00:00,Interested in HL
YESB45829933,Walk-in,In Progress,2024-06-21 00:00:00,Interested in HL
YESB49040021,Digital Campaign,Converted,2024-05-02 00:00:00,Wait for salary credit
YESB96545175,Digital Campaign,Lost,2024-02-06 00:00:00,Interested in HL
YESB45237719,Referral,Converted,2024-05-08 00:00:00,Called for FD
YESB51294047,Digital Campaign,In Progress,2024-05-31 00:00:00,Called for FD
YESB72027236,Walk-in,In Progress,2024-08-27 00:00:00,KYC Pending
YESB55383359,Referral,Lost,2024-03-04 00:00:00,Wait for salary credit
YESB98254806,Digital Campaign,Lost,2024-07-04 00:00:00,KYC Pending
YESB38076949,Referral,In Progress,2024-01-23 00:00:00,Interested in HL
YESB97030890,Digital Campaign,Converted,2024-09-02 00:00:00,Wait for salary credit
YESB74447261,Referral,Converted,2024-04-11 00:00:00,Wait for salary credit
YESB45830042,Walk-in,In Progress,2024-01-30 00:00:00,Wait for salary credit
YESB27382629,Referral,Converted,2024-10-10 00:00:00,KYC Pending
YESB32104639,Walk-in,In Progress,2024-01-03 00:00:00,Called for FD
YESB50821951,Walk-in,Converted,2024-05-21 00:00:00,KYC Pending
YESB87454033,Walk-in,In Progress,2024-07-15 00:00:00,Called for FD
YESB15346675,Referral,Converted,2024-12-30 00:00:00,KYC Pending
YESB48577466,Digital Campaign,Converted,2024-07-08 00:00:00,Called for FD
YESB64445339,Walk-in,Converted,2024-09-23 00:00:00,Called for FD
YESB34723132,Digital Campaign,In Progress,2024-04-27 00:00:00,Called for FD
YESB35926301,Digital Campaign,Lost,2024-01-11 00:00:00,Wait for salary credit
YESB74140075,Referral,Lost,2024-08-01 00:00:00,Called for FD
YESB75092273,Digital Campaign,Converted,2024-08-14 00:00:00,KYC Pending
YESB12744997,Referral,In Progress,2024-10-24 00:00:00,Wait for salary credit
YESB79913272,Walk-in,In Progress,2024-05-20 00:00:00,KYC Pending
YESB21180361,Digital Campaign,In Progress,2024-10-21 00:00:00,Interested in HL
YESB19809406,Walk-in,In Progress,2024-11-24 00:00:00,Wait for salary credit
YESB83622617,Walk-in,Lost,2024-03-23 00:00:00,Wait for salary credit
YESB50134278,Referral,In Progress,2024-02-01 00:00:00,Called for FD
YESB22787801,Walk-in,Converted,2024-11-27 00:00:00,KYC Pending
YESB24797682,Walk-in,Converted,2024-04-15 00:00:00,Wait for salary credit
YESB48365151,Digital Campaign,Lost,2024-06-10 00:00:00,Called for FD
YESB30515983,Walk-in,In Progress,2024-06-15 00:00:00,Wait for salary credit
YESB50765671,Referral,Lost,2024-10-23 00:00:00,KYC Pending
YESB83408624,Digital Campaign,Converted,2024-12-13 00:00:00,Interested in HL
YESB98666452,Digital Campaign,Converted,2024-06-17 00:00:00,KYC Pending
YESB52350403,Digital Campaign,Lost,2024-04-17 00:00:00,Interested in HL
YESB94902716,Walk-in,Lost,2024-05-08 00:00:00,KYC Pending
YESB27534662,Digital Campaign,Converted,2024-03-05 00:00:00,Wait for salary credit
YESB86742567,Referral,Converted,2024-06-09 00:00:00,KYC Pending
YESB74984837,Digital Campaign,Converted,2024-03-19 00:00:00,Interested in HL
YESB97930393,Referral,In Progress,2024-02-05 00:00:00,Wait for salary credit
YESB66480036,Walk-in,Converted,2024-08-10 00:00:00,KYC Pending
YESB82351110,Referral,In Progress,2024-11-25 00:00:00,Wait for salary credit
YESB59377539,Referral,Converted,2024-10-18 00:00:00,Wait for salary credit
YESB95307066,Walk-in,Converted,2024-10-25 00:00:00,Called for FD
YESB33122383,Walk-in,Lost,2024-08-20 00:00:00,Interested in HL
YESB68915000,Digital Campaign,Lost,2024-07-04 00:00:00,KYC Pending
YESB64717741,Referral,Lost,2024-03-25 00:00:00,Interested in HL
YESB90867214,Referral,Converted,2024-03-14 00:00:00,Wait for salary credit
YESB31598630,Digital Campaign,Lost,2024-04-23 00:00:00,Interested in HL
YESB81316049,Walk-in,Converted,2024-02-14 00:00:00,Called for FD
YESB45245343,Digital Campaign,Lost,2024-02-09 00:00:00,KYC Pending
YESB75146565,Referral,Converted,2024-07-14 00:00:00,KYC Pending
YESB75049138,Walk-in,Converted,2024-11-15 00:00:00,Called for FD
YESB81315526,Referral,Lost,2024-12-13 00:00:00,Called for FD
YESB25468057,Digital Campaign,Lost,2024-06-14 00:00:00,Interested in HL
YESB57237404,Walk-in,Converted,2024-03-28 00:00:00,KYC Pending
YESB11991740,Referral,Converted,2024-06-16 00:00:00,Wait for salary credit
YESB61655410,Walk-in,Lost,2024-02-16 00:00:00,KYC Pending
YESB69925364,Referral,Lost,2024-08-10 00:00:00,Interested in HL
YESB66073921,Referral,Lost,2024-09-06 00:00:00,KYC Pending
YESB77870443,Walk-in,Lost,2024-04-19 00:00:00,Called for FD
YESB76169279,Digital Campaign,Converted,2024-08-07 00:00:00,KYC Pending
YESB28261426,Walk-in,In Progress,2024-08-09 00:00:00,Interested in HL
YESB72666741,Referral,Lost,2024-05-31 00:00:00,Wait for salary credit
YESB71330607,Referral,Converted,2024-08-10 00:00:00,Interested in HL
YESB89156436,Digital Campaign,Converted,2024-11-20 00:00:00,Interested in HL
YESB31249397,Walk-in,In Progress,2024-12-06 00:00:00,KYC Pending
YESB76256799,Digital Campaign,Converted,2024-08-20 00:00:00,KYC Pending
YESB60992875,Digital Campaign,Converted,2024-05-13 00:00:00,Wait for salary credit
YESB78970649,Digital Campaign,In Progress,2024-04-09 00:00:00,Called for FD
YESB72894363,Digital Campaign,Converted,2024-12-03 00:00:00,Called for FD
YESB31132518,Digital Campaign,In Progress,2024-01-26 00:00:00,KYC Pending
YESB36798026,Walk-in,Converted,2024-10-02 00:00:00,Wait for salary credit
YESB80173542,Digital Campaign,Converted,2024-12-25 00:00:00,Called for FD
YESB50594496,Referral,In Progress,2024-06-24 00:00:00,Called for FD
YESB97619039,Referral,In Progress,2024-03-27 00:00:00,Wait for salary credit
YESB48811456,Walk-in,In Progress,2024-01-22 00:00:00,Interested in HL
YESB82189502,Digital Campaign,Lost,2024-10-11 00:00:00,Wait for salary credit
YESB99228861,Digital Campaign,Lost,2024-01-11 00:00:00,Called for FD
YESB95362127,Walk-in,Lost,2024-05-24 00:00:00,Called for FD
YESB85168604,Walk-in,Lost,2024-05-28 00:00:00,Interested in HL
YESB36870523,Walk-in,Lost,2024-12-18 00:00:00,Interested in HL
YESB18429616,Digital Campaign,Lost,2024-12-18 00:00:00,KYC Pending
YESB44698461,Digital Campaign,Lost,2024-11-23 00:00:00,KYC Pending
YESB48334984,Walk-in,Converted,2024-07-05 00:00:00,Wait for salary credit
YESB67324047,Walk-in,Lost,2024-04-21 00:00:00,Wait for salary credit
YESB23320434,Digital Campaign,Converted,2024-05-26 00:00:00,KYC Pending
YESB73075640,Referral,Converted,2024-10-25 00:00:00,Wait for salary credit
YESB75904904,Referral,Converted,2024-04-14 00:00:00,Interested in HL
YESB18149633,Walk-in,In Progress,2024-02-22 00:00:00,Interested in HL
YESB92411467,Referral,Lost,2024-07-05 00:00:00,Wait for salary credit
YESB63837560,Referral,In Progress,2024-02-17 00:00:00,Called for FD
YESB23569737,Referral,Lost,2024-05-26 00:00:00,KYC Pending
YESB69343803,Walk-in,Lost,2024-06-11 00:00:00,Called for FD
YESB42944182,Walk-in,Converted,2024-04-11 00:00:00,Called for FD
YESB94285923,Referral,In Progress,2024-04-27 00:00:00,Called for FD
YESB51724910,Digital Campaign,Converted,2024-03-29 00:00:00,Wait for salary credit
YESB51755949,Walk-in,Converted,2024-05-27 00:00:00,Wait for salary credit
YESB89981572,Referral,In Progress,2024-07-24 00:00:00,KYC Pending
YESB76173668,Digital Campaign,Lost,2024-03-15 00:00:00,Interested in HL
YESB55613233,Referral,Lost,2024-05-09 00:00:00,Called for FD
YESB79622175,Digital Campaign,Lost,2024-04-27 00:00:00,Called for FD
YESB51087516,Digital Campaign,In Progress,2024-12-27 00:00:00,Wait for salary credit
YESB33055118,Walk-in,In Progress,2024-11-21 00:00:00,Wait for salary credit
YESB19010652,Referral,Lost,2024-04-01 00:00:00,Wait for salary credit
YESB39618056,Walk-in,Converted,2024-08-09 00:00:00,Interested in HL
YESB54967385,Walk-in,Converted,2024-05-16 00:00:00,Interested in HL
YESB26388811,Referral,Converted,2024-03-20 00:00:00,Called for FD
YESB13619857,Walk-in,In Progress,2024-04-30 00:00:00,Wait for salary credit
YESB64637843,Digital Campaign,Lost,2024-07-10 00:00:00,Wait for salary credit
YESB55832154,Walk-in,In Progress,2024-01-11 00:00:00,Interested in HL
YESB86528351,Referral,In Progress,2024-07-25 00:00:00,Wait for salary credit
YESB90892345,Walk-in,Converted,2024-11-26 00:00:00,Interested in HL
YESB14406689,Digital Campaign,Converted,2024-02-01 00:00:00,KYC Pending
YESB87339298,Digital Campaign,Lost,2024-02-10 00:00:00,Interested in HL
YESB71186047,Walk-in,Lost,2024-03-31 00:00:00,Wait for salary credit
YESB16570319,Walk-in,Converted,2024-09-22 00:00:00,Called for FD
YESB43730022,Referral,Lost,2024-06-18 00:00:00,KYC Pending
YESB31579411,Digital Campaign,Converted,2024-08-25 00:00:00,Wait for salary credit
YESB29689828,Walk-in,Converted,2024-02-21 00:00:00,Called for FD
YESB50962478,Referral,Lost,2024-05-19 00:00:00,Interested in HL
YESB33314583,Walk-in,In Progress,2024-12-31 00:00:00,KYC Pending
YESB70235260,Digital Campaign,Lost,2024-04-02 00:00:00,Interested in HL
YESB56029376,Digital Campaign,In Progress,2024-12-23 00:00:00,KYC Pending
YESB65324603,Walk-in,Lost,2024-06-12 00:00:00,KYC Pending
YESB40798573,Referral,Converted,2024-09-02 00:00:00,Wait for salary credit
YESB96423054,Walk-in,Lost,2024-07-09 00:00:00,KYC Pending
YESB88828622,Referral,Converted,2024-08-20 00:00:00,KYC Pending
YESB26902297,Walk-in,Converted,2024-04-24 00:00:00,Called for FD
YESB60449457,Walk-in,In Progress,2024-02-22 00:00:00,Called for FD
YESB48032158,Digital Campaign,In Progress,2024-06-20 00:00:00,Wait for salary credit
YESB28018965,Walk-in,Converted,2024-11-15 00:00:00,KYC Pending
YESB93407348,Digital Campaign,Lost,2024-06-19 00:00:00,Wait for salary credit
YESB90852798,Digital Campaign,Converted,2024-09-17 00:00:00,Wait for salary credit
YESB74873823,Digital Campaign,Lost,2024-08-22 00:00:00,Interested in HL
YESB81659836,Referral,Lost,2024-10-25 00:00:00,KYC Pending
YESB63201680,Referral,Converted,2024-09-05 00:00:00,Wait for salary credit
YESB15966278,Walk-in,In Progress,2024-08-19 00:00:00,KYC Pending
YESB56436544,Digital Campaign,Converted,2024-01-18 00:00:00,KYC Pending
YESB34200175,Referral,Lost,2024-08-11 00:00:00,Wait for salary credit
YESB87715672,Digital Campaign,Converted,2024-11-23 00:00:00,Interested in HL
YESB97734070,Referral,Converted,2024-07-20 00:00:00,KYC Pending
YESB20490786,Walk-in,In Progress,2024-01-05 00:00:00,KYC Pending
YESB92957281,Walk-in,Lost,2024-03-31 00:00:00,Called for FD
YESB20799220,Referral,In Progress,2024-07-09 00:00:00,Wait for salary credit
YESB28315102,Walk-in,In Progress,2024-08-08 00:00:00,Interested in HL
YESB14315953,Referral,Lost,2024-10-02 00:00:00,Interested in HL
YESB29909810,Digital Campaign,Lost,2024-05-17 00:00:00,Called for FD
YESB94457005,Digital Campaign,Lost,2024-08-29 00:00:00,Wait for salary credit
YESB10843491,Digital Campaign,In Progress,2024-12-15 00:00:00,KYC Pending
YESB14810032,Digital Campaign,In Progress,2024-06-18 00:00:00,KYC Pending
YESB53313185,Digital Campaign,Converted,2024-04-26 00:00:00,Called for FD
YESB13372818,Referral,Converted,2024-05-05 00:00:00,Interested in HL
YESB65241397,Walk-in,Lost,2024-05-13 00:00:00,Called for FD
YESB93335600,Walk-in,Converted,2024-06-12 00:00:00,Wait for salary credit
YESB79315551,Digital Campaign,In Progress,2024-11-21 00:00:00,KYC Pending
YESB29881229,Digital Campaign,Lost,2024-03-16 00:00:00,Wait for salary credit
YESB73043490,Referral,In Progress,2024-08-05 00:00:00,Wait for salary credit
YESB72082408,Referral,In Progress,2024-03-15 00:00:00,Wait for salary credit
YESB48734324,Referral,Converted,2024-08-07 00:00:00,KYC Pending
YESB87073408,Referral,Lost,2024-12-08 00:00:00,KYC Pending
YESB68345545,Walk-in,Lost,2024-08-29 00:00:00,KYC Pending
YESB27285988,Walk-in,In Progress,2024-08-20 00:00:00,KYC Pending
YESB54708843,Walk-in,Converted,2024-02-09 00:00:00,KYC Pending
YESB23669202,Digital Campaign,Converted,2024-10-30 00:00:00,Interested in HL
YESB64636073,Digital Campaign,Converted,2024-07-29 00:00:00,Wait for salary credit
YESB53564495,Referral,In Progress,2024-01-14 00:00:00,Interested in HL
YESB20068188,Walk-in,Converted,2024-10-04 00:00:00,KYC Pending
